order_id,order_date,customer,region,city,product,category,quantity,unit_price,discount,revenue,cost,profit,sales_channel
"SO-10208","2026-08-12","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0","449","157.15","291.85","Direct"
"SO-10209","2026-08-13","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Online"
"SO-10210","2026-08-14","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0.06","2954.42","1100.05","1854.37","Partner"
"SO-10211","2026-08-15","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0","3774","1434.12","2339.88","Direct"
"SO-10212","2026-08-16","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0","2245","785.75","1459.25","Online"
"SO-10213","2026-08-17","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Partner"
"SO-10214","2026-08-18","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0","1347","471.45","875.55","Direct"
"SO-10215","2026-08-19","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0.06","1182.52","478.04","704.48","Online"
"SO-10216","2026-08-20","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0.12","395.12","157.15","237.97","Partner"
"SO-10217","2026-08-21","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Direct"
"SO-10218","2026-08-22","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0","3143","1100.05","2042.95","Online"
"SO-10219","2026-08-23","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0","3774","1434.12","2339.88","Partner"
"SO-10220","2026-08-24","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0.06","2110.3","785.75","1324.55","Direct"
"SO-10221","2026-08-25","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Online"
"SO-10222","2026-08-26","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0","1347","471.45","875.55","Partner"
"SO-10223","2026-08-27","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0","1258","478.04","779.96","Direct"
"SO-10224","2026-08-28","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0","449","157.15","291.85","Online"
